wavelength_um,snr
1.207037896365042329e+00,1.130324813924102756e+01
1.207054331013147630e+00,1.129964009287821902e+01
1.207070765661252709e+00,1.129602995511880970e+01
1.207087200309358010e+00,1.130158287582339582e+01
1.207103634957463090e+00,1.130733924299078375e+01
1.207120069605568391e+00,1.131005559654020587e+01
1.207136504253673470e+00,1.131007680075204469e+01
1.207152938901778771e+00,1.131011134830506926e+01
1.207169373549883851e+00,1.131030124211043564e+01
1.207185808197989152e+00,1.131049064311916830e+01
1.207202242846094231e+00,1.131276668291482146e+01
1.207218677494199310e+00,1.131625055847722550e+01
1.207235112142304612e+00,1.131915562620436155e+01
1.207251546790409691e+00,1.131950832139758134e+01
1.207267981438514992e+00,1.131986058816815799e+01
1.207284416086620293e+00,1.132359139028270256e+01
1.207300850734725373e+00,1.132853213857783992e+01
1.207317285382830452e+00,1.133143418324856988e+01
1.207333720030935753e+00,1.132928982397987383e+01
1.207350154679040832e+00,1.132714401130125204e+01
1.207366589327146134e+00,1.133157067957153785e+01
1.207383023975251213e+00,1.133725860751839498e+01
1.207399458623356292e+00,1.134020322092282917e+01
1.207415893271461593e+00,1.133886104641339010e+01
1.207432327919566895e+00,1.133751775622364200e+01
1.207448762567671974e+00,1.134295664131729353e+01
1.207465197215777275e+00,1.134881878884040773e+01
1.207481631863882354e+00,1.135173211171430907e+01
1.207498066511987433e+00,1.135160571789397466e+01
1.207514501160092735e+00,1.135168265281489930e+01
1.207530935808197814e+00,1.135624929993157295e+01
1.207547370456303115e+00,1.136081707076297320e+01
1.207563805104408194e+00,1.136124650910185530e+01
1.207580239752513496e+00,1.135884983203114729e+01
1.207596674400618575e+00,1.135757689549082095e+01
1.207613109048723876e+00,1.136293175193678806e+01
1.207629543696828955e+00,1.136828799748704633e+01
1.207645978344934257e+00,1.137128707636700220e+01
1.207662412993039336e+00,1.137325571223940024e+01
1.207678847641144415e+00,1.137524080226896217e+01
1.207695282289249716e+00,1.137727580205629785e+01
1.207711716937354796e+00,1.137931101829810032e+01
1.207728151585459875e+00,1.138119255623277404e+01
1.207744586233565398e+00,1.138303506511452667e+01
1.207761020881670477e+00,1.138526473548531115e+01
1.207777455529775557e+00,1.138822136431769749e+01
1.207793890177880858e+00,1.139117854806462837e+01
1.207810324825985937e+00,1.139284403374374399e+01
1.207826759474091016e+00,1.139436264143714261e+01
1.207843194122196318e+00,1.139568487737938796e+01
1.207859628770301397e+00,1.139676523128904151e+01
1.207876063418406698e+00,1.139784543894512581e+01
1.207892498066511999e+00,1.139563638243855337e+01
